Product type,SKU,Supplier name,Location,Customer demographics,Customer segment,Transportation modes,Routes,Price,Availability,Number of products sold,Revenue generated,Manufacturing costs,Costs,Profit margin,Order quantities,Lead time,Order date,Shipping date,Delivery date,Shipping times,Defect rates,Inspection results,Manufacturing lead time,Production volumes,Stock levels,Transportation costs
Skincare,SKU0058,Supplier D,Mumbai,Unknown,D2C,Road,Route B,64.61,6,5,323.05,36.54,182.7,43.45,197,15,2024-05-05,2024-05-10,2024-05-25,15,0.0022,Fail,18,1549,6,107.59
Cosmetics,SKU0014,Supplier E,Mumbai,Male,D2C,Rail,Route B,125.04,375,141,17630.64,86.51,12197.91,30.81,118,25,2023-09-12,2023-09-15,2023-10-10,25,0.0494,Pass,7,2452,375,344.38
Skincare,SKU0013,Supplier A,Kolkata,Unknown,B2C,Rail,Route B,72.27,344,160,11563.2,33.76,5401.6,53.29,376,18,2023-09-22,2023-09-24,2023-10-12,18,0.072,Pass,3,4788,344,357.69
Cosmetics,SKU0045,Supplier E,Bangalore,Non-binary,B2C,Road,Route A,147.17,60,33,4856.61,48.13,1588.29,67.3,135,28,2023-01-26,2023-01-30,2023-02-27,28,0.0723,Pass,4,1617,60,296.98
Beauty,SKU0044,Supplier C,Chennai,Non-binary,B2C,Road,Route B,71.45,64,4,285.8,27.61,110.44,61.36,379,2,2024-04-11,2024-04-13,2024-04-15,2,0.0664,Fail,18,4630,64,258.03
Skincare,SKU0039,Supplier C,Mumbai,Non-binary,D2C,Road,Route C,99.39,85,75,7454.25,34.27,2570.25,65.52,108,24,2023-02-15,2023-02-16,2023-03-12,24,0.0787,Pass,19,2179,85,256.66
Beauty,SKU0071,Supplier B,Bangalore,Unknown,B2B,Rail,Route C,42.5,19,3,127.5,13.06,39.18,69.27,281,14,2023-06-13,2023-06-16,2023-06-30,14,0.0754,Fail,16,3148,19,445.02
Beauty,SKU0051,Supplier B,Pune,Unknown,D2C,Rail,Route B,86.23,283,25,2155.75,28.12,703.0,67.39,303,17,2023-01-30,2023-02-04,2023-02-21,17,0.0027,Pass,14,1677,283,204.65
Healthcare,SKU0036,Supplier B,Delhi,Female,B2C,Sea,Route A,77.18,261,166,12811.88,35.42,5879.72,54.11,476,20,2023-03-06,2023-03-11,2023-03-31,20,0.0452,Pass,13,2651,261,399.03
Skincare,SKU0086,Supplier A,Chennai,Unknown,D2C,Rail,Route C,32.07,7,7,224.49,17.03,119.21,46.9,134,28,2024-05-16,2024-05-21,2024-06-18,28,0.0793,Pass,11,4754,7,190.56
Healthcare,SKU0059,Supplier C,Hyderabad,Female,B2C,Road,Route A,33.4,237,103,3440.2,19.32,1989.96,42.16,317,18,2023-06-26,2023-06-29,2023-07-17,18,0.0158,Pass,18,3024,237,124.72
Haircare,SKU0048,Supplier A,Bangalore,Unknown,D2C,Air,Route C,136.39,113,106,14457.34,73.55,7796.3,46.07,57,8,2023-05-25,2023-05-30,2023-06-07,8,0.0507,Fail,18,3790,113,452.3
Skincare,SKU0063,Supplier D,Bangalore,Unknown,B2C,Air,Route A,50.41,477,245,12350.45,31.33,7675.85,37.85,351,19,2023-06-27,2023-07-02,2023-07-21,19,0.0882,Pass,3,674,477,193.85
Haircare,SKU0046,Supplier D,Kolkata,Female,B2C,Rail,Route B,75.38,20,12,904.56,49.21,590.52,34.72,272,2,2023-01-10,2023-01-14,2023-01-16,2,0.0166,Pass,7,1660,20,345.26
Skincare,SKU0063,Supplier D,Ahmedabad,Female,B2C,Road,Route B,18.49,195,24,443.76,6.13,147.12,66.85,182,20,2023-06-21,2023-06-22,2023-07-12,20,0.089,Pass,11,1495,195,488.06
Beauty,SKU0022,Supplier E,Chennai,Male,D2C,Road,Route B,138.14,133,59,8150.26,91.24,5383.16,33.95,413,12,2024-04-13,2024-04-18,2024-04-30,12,0.0988,Fail,4,1254,133,256.67
Cosmetics,SKU0098,Supplier C,Kolkata,Unknown,B2B,Air,Route B,132.57,285,276,36589.32,45.11,12450.36,65.97,212,28,2024-03-27,2024-04-01,2024-04-29,28,0.0826,Pass,11,4533,285,113.89
Healthcare,SKU0045,Supplier D,Chennai,Female,B2B,Sea,Route C,113.58,440,278,31575.24,67.61,18795.58,40.47,157,16,2023-03-31,2023-04-04,2023-04-20,16,0.0577,Pass,17,1030,440,262.08
Cosmetics,SKU0079,Supplier D,Bangalore,Male,D2C,Sea,Route C,9.51,380,271,2577.21,5.46,1479.66,42.59,205,2,2023-05-23,2023-05-25,2023-05-27,2,0.0325,Pass,8,4319,380,356.75
Haircare,SKU0042,Supplier E,Bangalore,Male,B2B,Rail,Route A,148.8,246,86,12796.8,75.15,6462.9,49.5,343,3,2023-10-27,2023-10-30,2023-11-02,3,0.0694,Pass,5,1436,246,212.17
Haircare,SKU0032,Supplier B,Bangalore,Unknown,B2C,Air,Route C,49.07,301,141,6918.87,29.76,4196.16,39.35,404,4,2023-05-30,2023-06-02,2023-06-06,4,0.0871,Pass,17,2357,301,76.59
Haircare,SKU0058,Supplier D,Pune,Non-binary,D2C,Sea,Route B,99.36,133,90,8942.4,48.1,4329.0,51.59,149,2,2023-03-19,2023-03-20,2023-03-22,2,0.0447,Fail,5,4017,133,221.73
Skincare,SKU0100,Supplier C,Kolkata,Male,D2C,Rail,Route A,74.47,368,280,20851.6,49.69,13913.2,33.28,264,8,2023-04-06,2023-04-10,2023-04-18,8,0.074,Pass,16,3046,368,107.35
Skincare,SKU0035,Supplier B,Ahmedabad,Female,D2C,Rail,Route B,114.32,200,27,3086.64,62.71,1693.17,45.15,122,20,2023-11-27,2023-11-30,2023-12-20,20,0.0982,Pass,17,4593,200,187.14
Healthcare,SKU0081,Supplier A,Mumbai,Female,B2C,Rail,Route A,36.67,436,163,5977.21,11.68,1903.84,68.15,210,8,2024-04-15,2024-04-16,2024-04-24,8,0.0263,Pass,16,1862,436,260.95
Skincare,SKU0084,Supplier B,Bangalore,Male,D2C,Sea,Route B,37.82,333,221,8358.22,25.0,5525.0,33.9,313,9,2023-11-06,2023-11-08,2023-11-17,9,0.0048,Pass,16,4108,333,444.77
Healthcare,SKU0007,Supplier C,Bangalore,Unknown,D2C,Road,Route C,148.41,254,182,27010.62,91.69,16687.58,38.22,207,16,2024-02-10,2024-02-13,2024-02-29,16,0.024,Pass,13,4689,254,243.13
Healthcare,SKU0062,Supplier A,Delhi,Unknown,B2B,Road,Route C,129.08,254,148,19103.84,50.09,7413.32,61.19,221,5,2023-03-21,2023-03-23,2023-03-28,5,0.0252,Pass,11,3616,254,101.72
Haircare,SKU0089,Supplier A,Pune,Female,B2C,Road,Route C,9.73,34,16,155.68,5.14,82.24,47.17,350,2,2023-05-16,2023-05-20,2023-05-22,2,0.0879,Pass,10,2479,34,362.5
Healthcare,SKU0048,Supplier A,Hyderabad,Female,D2C,Air,Route A,137.05,173,46,6304.3,90.04,4141.84,34.3,142,15,2023-11-03,2023-11-05,2023-11-20,15,0.0602,Fail,8,4700,173,126.76
Cosmetics,SKU0079,Supplier E,Kolkata,Female,D2C,Air,Route B,106.88,131,54,5771.52,42.08,2272.32,60.63,125,7,2023-06-18,2023-06-22,2023-06-29,7,0.0132,Pass,14,293,131,269.45
Cosmetics,SKU0012,Supplier D,Delhi,Unknown,B2C,Rail,Route B,44.38,346,256,11361.28,14.57,3729.92,67.17,202,8,2023-04-13,2023-04-15,2023-04-23,8,0.0634,Pass,14,4457,346,51.31
Beauty,SKU0083,Supplier B,Chennai,Male,D2C,Sea,Route A,11.62,135,123,1429.26,5.03,618.69,56.71,290,10,2023-03-28,2023-03-30,2023-04-09,10,0.0972,Pass,16,1555,135,330.13
Cosmetics,SKU0096,Supplier E,Delhi,Female,B2C,Rail,Route A,45.7,311,176,8043.2,29.32,5160.32,35.84,418,13,2024-02-06,2024-02-09,2024-02-22,13,0.0537,Pass,13,4599,311,148.58
Beauty,SKU0068,Supplier D,Mumbai,Female,B2C,Rail,Route B,20.66,89,38,785.08,8.0,304.0,61.28,155,21,2023-01-13,2023-01-16,2023-02-06,21,0.0439,Pass,11,1900,89,182.07
Cosmetics,SKU0099,Supplier B,Ahmedabad,Male,B2C,Air,Route A,123.42,304,40,4936.8,54.07,2162.8,56.19,472,17,2023-03-16,2023-03-17,2023-04-03,17,0.0114,Pass,9,4592,304,308.65
Healthcare,SKU0081,Supplier D,Chennai,Unknown,B2B,Air,Route B,102.94,493,146,15029.24,42.19,6159.74,59.01,50,11,2024-05-28,2024-06-01,2024-06-12,11,0.0131,Fail,14,4779,493,225.44
Healthcare,SKU0066,Supplier C,Mumbai,Unknown,D2C,Road,Route B,136.6,108,11,1502.6,85.99,945.89,37.05,152,29,2023-07-28,2023-07-30,2023-08-28,29,0.0309,Pass,7,4715,108,479.31
Skincare,SKU0032,Supplier B,Kolkata,Unknown,D2C,Road,Route B,130.12,173,86,11190.32,41.15,3538.9,68.38,389,13,2023-03-30,2023-04-03,2023-04-16,13,0.083,Pass,4,1089,173,358.97
Beauty,SKU0091,Supplier A,Kolkata,Unknown,B2C,Sea,Route A,121.05,419,81,9805.05,56.6,4584.6,53.24,133,5,2023-05-21,2023-05-22,2023-05-27,5,0.0121,Pass,14,3549,419,455.14
Haircare,SKU0094,Supplier B,Chennai,Unknown,B2C,Road,Route B,51.56,40,38,1959.28,29.46,1119.48,42.86,499,2,2023-05-01,2023-05-02,2023-05-04,2,0.0669,Pass,15,1009,40,449.62
Cosmetics,SKU0059,Supplier A,Ahmedabad,Unknown,D2C,Air,Route B,97.23,117,72,7000.56,35.85,2581.2,63.13,204,25,2024-06-07,2024-06-10,2024-07-05,25,0.0154,Pass,8,486,117,383.44
Beauty,SKU0074,Supplier C,Mumbai,Male,B2B,Air,Route A,82.43,295,257,21184.51,42.29,10868.53,48.7,284,17,2023-04-29,2023-05-01,2023-05-18,17,0.0695,Pass,15,2098,295,268.7
Skincare,SKU0020,Supplier C,Pune,Female,B2C,Air,Route B,11.34,212,61,691.74,5.52,336.72,51.32,457,17,2023-07-03,2023-07-04,2023-07-21,17,0.0216,Fail,13,2758,212,343.53
Haircare,SKU0074,Supplier C,Mumbai,Female,B2B,Road,Route B,16.25,72,52,845.0,7.78,404.56,52.12,403,6,2024-01-17,2024-01-18,2024-01-24,6,0.0789,Pass,5,3343,72,222.91
Healthcare,SKU0100,Supplier D,Chennai,Unknown,B2B,Sea,Route A,137.91,62,22,3034.02,42.05,925.1,69.51,362,8,2023-11-15,2023-11-18,2023-11-26,8,0.089,Pass,3,2043,62,62.34
Haircare,SKU0095,Supplier E,Chennai,Unknown,B2B,Air,Route A,59.31,439,155,9193.05,18.86,2923.3,68.2,370,5,2023-09-06,2023-09-10,2023-09-15,5,0.0646,Pass,12,1013,439,205.64
Healthcare,SKU0030,Supplier D,Kolkata,Male,D2C,Rail,Route C,97.35,426,125,12168.75,55.57,6946.25,42.92,374,11,2023-12-21,2023-12-22,2024-01-02,11,0.0311,Pass,18,3799,426,288.99
Haircare,SKU0068,Supplier A,Delhi,Male,B2B,Sea,Route A,89.13,485,30,2673.9,61.39,1841.7,31.12,463,4,2023-09-01,2023-09-05,2023-09-09,4,0.0167,Fail,5,4752,485,62.39
Healthcare,SKU0090,Supplier B,Pune,Male,D2C,Air,Route C,60.71,154,106,6435.26,18.78,1990.68,69.07,364,27,2024-01-17,2024-01-21,2024-02-17,27,0.016,Pass,12,2269,154,116.18
Skincare,SKU0056,Supplier A,Kolkata,Non-binary,B2C,Rail,Route C,21.84,169,123,2686.32,10.43,1282.89,52.24,323,5,2023-05-14,2023-05-16,2023-05-21,5,0.0474,Pass,19,896,169,422.02
Haircare,SKU0035,Supplier C,Ahmedabad,Female,D2C,Road,Route A,46.82,430,125,5852.5,32.23,4028.75,31.16,327,20,2023-08-28,2023-08-29,2023-09-18,20,0.0031,Pass,7,2452,430,293.63
Healthcare,SKU0060,Supplier B,Ahmedabad,Non-binary,B2B,Rail,Route B,82.18,364,41,3369.38,31.05,1273.05,62.22,390,2,2023-11-18,2023-11-22,2023-11-24,2,0.0259,Pass,14,1656,364,204.1
Skincare,SKU0012,Supplier C,Mumbai,Female,B2C,Air,Route A,145.13,358,91,13206.83,52.28,4757.48,63.98,403,24,2023-06-11,2023-06-14,2023-07-08,24,0.1,Pass,19,3270,358,270.0
Beauty,SKU0066,Supplier C,Pune,Female,B2B,Rail,Route B,132.65,103,85,11275.25,64.28,5463.8,51.54,390,25,2023-02-20,2023-02-23,2023-03-20,25,0.0793,Pass,7,756,103,116.59
Cosmetics,SKU0013,Supplier E,Delhi,Male,B2B,Road,Route A,108.08,373,146,15779.68,63.64,9291.44,41.12,222,27,2024-04-18,2024-04-19,2024-05-16,27,0.0909,Pass,13,1610,373,256.31
Beauty,SKU0048,Supplier B,Pune,Male,B2B,Road,Route A,23.1,464,183,4227.3,7.25,1326.75,68.61,119,20,2023-03-28,2023-04-02,2023-04-22,20,0.0467,Pass,18,2767,464,116.96
Skincare,SKU0043,Supplier B,Mumbai,Male,B2B,Rail,Route C,75.09,351,69,5181.21,31.11,2146.59,58.57,466,23,2023-05-06,2023-05-07,2023-05-30,23,0.0375,Fail,17,2046,351,303.22
Skincare,SKU0049,Supplier D,Kolkata,Female,B2B,Sea,Route B,79.13,248,242,19149.46,52.05,12596.1,34.22,268,18,2024-03-12,2024-03-14,2024-04-01,18,0.0726,Pass,17,3922,248,233.41
Skincare,SKU0079,Supplier B,Kolkata,Unknown,D2C,Rail,Route A,88.16,364,162,14281.92,28.55,4625.1,67.62,478,16,2023-09-09,2023-09-12,2023-09-28,16,0.0996,Fail,19,4035,364,247.62
Healthcare,SKU0018,Supplier C,Pune,Male,B2C,Sea,Route B,39.86,62,37,1474.82,20.1,743.7,49.57,238,3,2024-03-05,2024-03-07,2024-03-10,3,0.0448,Pass,18,1237,62,466.87
Cosmetics,SKU0073,Supplier D,Hyderabad,Non-binary,B2B,Road,Route B,74.14,348,213,15791.82,37.88,8068.44,48.91,369,11,2024-05-29,2024-06-01,2024-06-12,11,0.0872,Fail,18,1327,348,184.73
Cosmetics,SKU0100,Supplier B,Kolkata,Non-binary,D2C,Air,Route A,121.64,151,34,4135.76,75.1,2553.4,38.26,212,24,2023-10-15,2023-10-16,2023-11-09,24,0.0529,Fail,10,2941,151,499.02
Healthcare,SKU0035,Supplier B,Delhi,Unknown,B2C,Air,Route A,125.13,326,29,3628.77,54.65,1584.85,56.33,86,7,2024-06-30,2024-07-01,2024-07-08,7,0.0044,Pass,7,4336,326,383.21
Beauty,SKU0095,Supplier E,Hyderabad,Non-binary,D2C,Air,Route C,114.25,388,187,21364.75,72.93,13637.91,36.17,243,9,2024-01-03,2024-01-08,2024-01-17,9,0.0766,Pass,11,4997,388,96.98
Beauty,SKU0023,Supplier D,Chennai,Male,B2B,Air,Route A,16.26,383,259,4211.34,8.45,2188.55,48.03,447,6,2024-05-17,2024-05-18,2024-05-24,6,0.0306,Pass,15,2115,383,413.71
Cosmetics,SKU0043,Supplier D,Kolkata,Female,B2C,Road,Route A,15.49,60,18,278.82,8.87,159.66,42.74,194,27,2023-07-26,2023-07-28,2023-08-24,27,0.0869,Pass,12,4645,60,275.28
Beauty,SKU0100,Supplier E,Bangalore,Male,B2C,Rail,Route C,107.97,183,110,11876.7,49.72,5469.2,53.95,264,28,2023-04-24,2023-04-29,2023-05-27,28,0.0863,Pass,9,1688,183,468.15
Healthcare,SKU0042,Supplier C,Chennai,Unknown,D2C,Sea,Route A,127.12,400,232,29491.84,49.05,11379.6,61.41,324,21,2023-05-20,2023-05-22,2023-06-12,21,0.0034,Fail,19,282,400,341.52
Cosmetics,SKU0029,Supplier E,Hyderabad,Non-binary,B2B,Air,Route C,77.95,445,73,5690.35,40.68,2969.64,47.81,197,10,2023-06-29,2023-07-03,2023-07-13,10,0.0821,Pass,16,1111,445,357.18
Healthcare,SKU0099,Supplier E,Pune,Female,D2C,Road,Route B,48.96,334,21,1028.16,29.87,627.27,38.99,61,4,2023-02-03,2023-02-05,2023-02-09,4,0.0143,Pass,16,4549,334,273.51
Beauty,SKU0031,Supplier C,Mumbai,Male,D2C,Sea,Route B,109.65,360,203,22258.95,32.9,6678.7,70.0,398,17,2023-12-22,2023-12-25,2024-01-11,17,0.0318,Pass,8,3514,360,71.08
Healthcare,SKU0032,Supplier C,Delhi,Male,D2C,Road,Route A,89.57,263,156,13972.92,39.78,6205.68,55.59,196,28,2023-03-11,2023-03-14,2023-04-11,28,0.0102,Pass,4,4623,263,304.24
Skincare,SKU0022,Supplier D,Pune,Non-binary,D2C,Rail,Route A,87.91,337,140,12307.4,39.64,5549.6,54.91,228,19,2024-02-28,2024-03-03,2024-03-22,19,0.091,Fail,3,3999,337,90.18
Skincare,SKU0021,Supplier E,Delhi,Non-binary,B2B,Sea,Route B,96.74,119,54,5223.96,38.86,2098.44,59.83,284,10,2024-04-07,2024-04-08,2024-04-18,10,0.0139,Pass,3,3707,119,349.87
Healthcare,SKU0022,Supplier A,Hyderabad,Male,B2C,Rail,Route C,115.35,272,93,10727.55,70.68,6573.24,38.73,189,9,2024-01-20,2024-01-22,2024-01-31,9,0.0105,Pass,19,1224,272,499.76
Healthcare,SKU0078,Supplier D,Bangalore,Male,B2C,Air,Route A,77.29,358,27,2086.83,26.62,718.74,65.56,305,9,2024-03-20,2024-03-22,2024-03-31,9,0.0476,Pass,14,991,358,215.92
Skincare,SKU0085,Supplier E,Chennai,Male,B2B,Rail,Route C,129.55,12,1,129.55,82.93,82.93,35.99,65,5,2023-10-16,2023-10-19,2023-10-24,5,0.0822,Pass,8,3993,12,217.02
Cosmetics,SKU0007,Supplier D,Bangalore,Male,B2C,Rail,Route A,132.62,480,99,13129.38,41.69,4127.31,68.56,442,13,2024-01-05,2024-01-06,2024-01-19,13,0.0754,Fail,9,1039,480,111.47
Healthcare,SKU0022,Supplier A,Delhi,Male,B2C,Rail,Route B,62.29,487,64,3986.56,19.76,1264.64,68.28,62,4,2023-10-26,2023-10-27,2023-10-31,4,0.0085,Fail,12,2200,487,76.14
Skincare,SKU0083,Supplier C,Mumbai,Unknown,B2C,Air,Route B,104.77,12,4,419.08,32.24,128.96,69.23,405,6,2024-02-01,2024-02-03,2024-02-09,6,0.0337,Pass,5,486,12,476.98
Healthcare,SKU0060,Supplier C,Ahmedabad,Male,B2B,Road,Route A,63.62,16,11,699.82,37.53,412.83,41.01,458,22,2023-09-27,2023-09-29,2023-10-21,22,0.0267,Pass,8,4004,16,483.57
Haircare,SKU0097,Supplier E,Pune,Unknown,D2C,Rail,Route C,50.22,155,15,753.3,17.71,265.65,64.74,332,15,2023-08-21,2023-08-26,2023-09-10,15,0.022,Pass,12,2322,155,308.91
Skincare,SKU0061,Supplier E,Delhi,Male,D2C,Air,Route A,122.04,161,133,16231.32,50.93,6773.69,58.27,82,7,2023-11-03,2023-11-04,2023-11-11,7,0.0018,Fail,9,2903,161,382.56
Skincare,SKU0028,Supplier B,Bangalore,Unknown,B2B,Rail,Route A,98.07,11,10,980.7,67.64,676.4,31.03,160,21,2023-07-17,2023-07-19,2023-08-09,21,0.0646,Pass,13,4420,11,354.01
Beauty,SKU0041,Supplier E,Chennai,Unknown,D2C,Sea,Route B,92.89,455,44,4087.16,61.29,2696.76,34.02,462,22,2023-03-10,2023-03-11,2023-04-02,22,0.0152,Fail,4,3376,455,152.71
Cosmetics,SKU0090,Supplier D,Kolkata,Unknown,B2B,Air,Route C,113.38,470,217,24603.46,76.77,16659.09,32.29,182,4,2024-06-19,2024-06-23,2024-06-27,4,0.0958,Pass,13,3971,470,288.83
Cosmetics,SKU0014,Supplier E,Mumbai,Unknown,B2C,Rail,Route C,15.96,232,16,255.36,8.74,139.84,45.24,490,27,2023-04-14,2023-04-17,2023-05-14,27,0.0726,Pass,12,560,232,330.09
Skincare,SKU0005,Supplier E,Ahmedabad,Female,D2C,Rail,Route A,122.61,359,67,8214.87,68.31,4576.77,44.29,370,15,2023-06-26,2023-06-29,2023-07-14,15,0.0164,Fail,8,315,359,205.34
Skincare,SKU0007,Supplier C,Delhi,Male,B2C,Sea,Route B,110.12,56,46,5065.52,63.43,2917.78,42.4,419,9,2024-05-01,2024-05-04,2024-05-13,9,0.069,Pass,11,2395,56,53.53
Haircare,SKU0030,Supplier D,Mumbai,Non-binary,B2C,Rail,Route C,24.47,433,225,5505.75,16.63,3741.75,32.04,95,15,2023-05-18,2023-05-21,2023-06-05,15,0.0354,Fail,8,3745,433,84.31
Healthcare,SKU0028,Supplier B,Ahmedabad,Male,D2C,Air,Route A,122.01,209,77,9394.77,58.98,4541.46,51.66,52,10,2024-02-21,2024-02-25,2024-03-06,10,0.018,Pass,10,3599,209,124.59
Haircare,SKU0018,Supplier E,Pune,Female,B2B,Air,Route A,135.16,107,32,4325.12,83.43,2669.76,38.27,60,17,2024-06-20,2024-06-25,2024-07-12,17,0.0981,Pass,14,1705,107,226.34
Beauty,SKU0007,Supplier A,Ahmedabad,Non-binary,B2C,Rail,Route C,20.79,67,47,977.13,14.4,676.8,30.74,381,24,2024-01-05,2024-01-07,2024-01-31,24,0.0712,Pass,8,985,67,166.79
Healthcare,SKU0048,Supplier A,Delhi,Female,B2C,Sea,Route B,6.89,389,259,1784.51,4.57,1183.63,33.67,403,12,2024-05-15,2024-05-20,2024-06-01,12,0.0793,Fail,13,344,389,364.24
Beauty,SKU0037,Supplier C,Mumbai,Female,D2C,Air,Route A,143.17,417,246,35219.82,70.26,17283.96,50.93,401,8,2023-01-29,2023-02-02,2023-02-10,8,0.0162,Pass,3,4382,417,189.5
Beauty,SKU0084,Supplier B,Chennai,Male,B2C,Air,Route C,144.22,241,85,12258.7,43.96,3736.6,69.52,123,29,2024-02-24,2024-02-29,2024-03-29,29,0.0499,Pass,12,3426,241,402.99
Beauty,SKU0029,Supplier E,Kolkata,Non-binary,B2C,Rail,Route B,96.98,215,169,16389.62,49.06,8291.14,49.41,481,28,2023-09-16,2023-09-21,2023-10-19,28,0.0178,Pass,7,3036,215,92.93
Skincare,SKU0060,Supplier C,Delhi,Male,B2B,Sea,Route C,63.4,363,140,8876.0,26.35,3689.0,58.44,297,13,2023-11-06,2023-11-11,2023-11-24,13,0.0119,Fail,4,2276,363,495.54
Cosmetics,SKU0039,Supplier E,Chennai,Non-binary,B2C,Sea,Route B,11.51,92,70,805.7,3.87,270.9,66.38,143,17,2023-04-21,2023-04-25,2023-05-12,17,0.0635,Pass,19,3530,92,463.29
Haircare,SKU0020,Supplier C,Delhi,Unknown,D2C,Sea,Route C,88.68,205,16,1418.88,40.31,644.96,54.54,230,18,2024-06-13,2024-06-15,2024-07-03,18,0.0992,Pass,6,3108,205,211.36
Beauty,SKU0038,Supplier A,Ahmedabad,Unknown,D2C,Road,Route C,39.86,57,25,996.5,12.4,310.0,68.89,364,13,2023-09-23,2023-09-27,2023-10-10,13,0.0974,Fail,11,2013,57,149.38
Cosmetics,SKU0093,Supplier B,Hyderabad,Non-binary,D2C,Sea,Route A,143.67,277,236,33906.12,76.53,18061.08,46.73,188,9,2023-08-16,2023-08-21,2023-08-30,9,0.095,Fail,5,2735,277,303.5
Cosmetics,SKU0013,Supplier B,Chennai,Female,D2C,Sea,Route C,115.02,402,108,12422.16,76.09,8217.72,33.85,203,28,2024-04-27,2024-04-29,2024-05-27,28,0.043,Pass,16,2279,402,451.65
Healthcare,SKU0029,Supplier B,Hyderabad,Non-binary,B2C,Sea,Route B,124.36,83,14,1741.04,66.71,933.94,46.36,90,18,2023-11-11,2023-11-15,2023-12-03,18,0.0205,Pass,18,714,83,183.06
Healthcare,SKU0082,Supplier D,Kolkata,Male,D2C,Rail,Route C,9.76,493,270,2635.2,4.53,1223.1,53.59,329,3,2023-03-14,2023-03-18,2023-03-21,3,0.0507,Pass,6,3707,493,422.04
Haircare,SKU0020,Supplier D,Kolkata,Unknown,D2C,Rail,Route A,56.13,3,2,112.26,28.94,57.88,48.44,297,2,2023-05-21,2023-05-23,2023-05-25,2,0.0876,Pass,15,680,3,180.51
Haircare,SKU0063,Supplier B,Mumbai,Male,B2B,Rail,Route B,61.81,180,61,3770.41,28.84,1759.24,53.34,103,9,2023-12-07,2023-12-09,2023-12-18,9,0.0,Pass,12,2827,180,212.98
Beauty,SKU0063,Supplier B,Bangalore,Unknown,B2C,Rail,Route B,37.79,421,84,3174.36,24.68,2073.12,34.69,391,29,2023-04-01,2023-04-03,2023-05-02,29,0.0437,Fail,14,3209,421,378.21
Skincare,SKU0069,Supplier A,Kolkata,Non-binary,D2C,Air,Route A,111.1,419,238,26441.8,52.11,12402.18,53.1,355,9,2023-07-24,2023-07-27,2023-08-05,9,0.0848,Pass,7,1235,419,453.22
Healthcare,SKU0089,Supplier B,Delhi,Male,B2C,Sea,Route A,123.43,205,184,22711.12,76.86,14142.24,37.73,88,16,2023-12-19,2023-12-22,2024-01-07,16,0.0902,Pass,10,371,205,149.22
Healthcare,SKU0038,Supplier A,Chennai,Unknown,D2C,Air,Route B,16.38,286,201,3292.38,8.31,1670.31,49.27,188,27,2024-04-11,2024-04-16,2024-05-13,27,0.0269,Pass,19,4007,286,332.8
Skincare,SKU0022,Supplier C,Delhi,Female,D2C,Air,Route A,142.64,110,24,3423.36,48.64,1167.36,65.9,370,27,2024-02-18,2024-02-19,2024-03-17,27,0.0759,Pass,6,1204,110,368.82
Healthcare,SKU0016,Supplier E,Bangalore,Non-binary,D2C,Road,Route C,140.27,87,65,9117.55,47.59,3093.35,66.07,247,8,2024-01-11,2024-01-12,2024-01-20,8,0.018,Fail,9,608,87,464.45
Healthcare,SKU0007,Supplier A,Kolkata,Unknown,B2B,Sea,Route B,129.95,80,33,4288.35,46.38,1530.54,64.31,119,27,2023-04-29,2023-05-03,2023-05-30,27,0.0052,Fail,5,3508,80,201.02
Beauty,SKU0039,Supplier B,Kolkata,Female,B2C,Road,Route C,106.67,75,46,4906.82,53.18,2446.28,50.15,320,13,2024-03-06,2024-03-07,2024-03-20,13,0.0947,Pass,6,468,75,278.0
Cosmetics,SKU0015,Supplier A,Chennai,Female,B2C,Air,Route B,8.65,371,77,666.05,5.51,424.27,36.3,296,26,2023-04-19,2023-04-23,2023-05-19,26,0.0616,Pass,8,1092,371,155.74
Skincare,SKU0006,Supplier C,Bangalore,Non-binary,B2B,Road,Route A,145.22,338,192,27882.24,93.68,17986.56,35.49,62,5,2024-05-23,2024-05-25,2024-05-30,5,0.0718,Fail,5,758,338,482.68
Healthcare,SKU0020,Supplier A,Ahmedabad,Male,B2C,Air,Route B,62.5,378,42,2625.0,35.68,1498.56,42.91,477,10,2023-04-03,2023-04-08,2023-04-18,10,0.0809,Pass,7,2666,378,180.52
Haircare,SKU0007,Supplier C,Ahmedabad,Non-binary,B2C,Sea,Route B,50.37,374,113,5691.81,27.76,3136.88,44.89,377,16,2023-04-13,2023-04-15,2023-05-01,16,0.0982,Pass,19,3297,374,73.33
Healthcare,SKU0002,Supplier A,Kolkata,Non-binary,B2C,Sea,Route C,61.65,388,282,17385.3,26.73,7537.86,56.64,106,12,2023-05-22,2023-05-24,2023-06-05,12,0.0621,Pass,7,987,388,445.09
Healthcare,SKU0024,Supplier C,Hyderabad,Unknown,B2C,Rail,Route C,118.65,317,49,5813.85,67.75,3319.75,42.9,428,16,2023-04-27,2023-05-01,2023-05-17,16,0.0333,Fail,17,551,317,75.46
Skincare,SKU0015,Supplier D,Bangalore,Male,B2C,Rail,Route C,147.4,83,53,7812.2,55.95,2965.35,62.04,452,7,2023-05-16,2023-05-17,2023-05-24,7,0.0632,Pass,12,4556,83,403.37
Skincare,SKU0100,Supplier B,Pune,Female,B2C,Rail,Route A,147.15,217,61,8976.15,50.21,3062.81,65.88,107,29,2024-01-03,2024-01-08,2024-02-06,29,0.0977,Pass,11,2088,217,100.99
